iter	RMSE
0	2964.725538
1	2813.851737
2	2683.225877
3	2572.268277
4	2477.070819
5	2396.589946
6	2326.761716
7	2267.551866
8	2214.531617
9	2171.587745
10	2134.943302
11	2104.40932
12	2061.177163
13	2026.426447
14	2003.929416
15	1980.353655
16	1952.939694
17	1933.282773
18	1910.111939
19	1890.844508
20	1871.720796
21	1855.919176
22	1837.447068
23	1824.247098
24	1814.190744
25	1801.326667
26	1789.349204
27	1780.415716
28	1771.82834
29	1761.452883
30	1755.577461
31	1743.966255
32	1736.791989
33	1726.770737
34	1714.92323
35	1705.999548
36	1698.18742
37	1690.100222
38	1684.876198
39	1681.05084
40	1673.258671
41	1668.067546
42	1663.710261
43	1659.554548
44	1654.275519
45	1648.109983
46	1642.145236
47	1636.518802
48	1629.860651
49	1624.760551
50	1618.750724
51	1613.498599
52	1609.265102
53	1603.757473
54	1600.372724
55	1598.553905
56	1595.11383
57	1590.011309
58	1584.765276
59	1579.692409
60	1577.004704
61	1574.187269
62	1571.68209
63	1569.199184
64	1566.407268
65	1562.667953
66	1560.936315
67	1555.996323
68	1553.659217
69	1552.007515
70	1548.641016
71	1544.299031
72	1539.844689
73	1536.043152
74	1533.644289
75	1530.91214
76	1528.787791
77	1526.527184
78	1525.117422
79	1522.187487
80	1520.06517
81	1518.568282
82	1517.075675
83	1514.317646
84	1510.467298
85	1508.909117
86	1506.187965
87	1504.413392
88	1500.632186
89	1498.655429
90	1497.381936
91	1494.194042
92	1491.651257
93	1490.897624
94	1489.050875
95	1487.488367
96	1486.082105
97	1484.530652
98	1482.063729
99	1479.180629
100	1475.888009
101	1473.052776
102	1472.095752
103	1470.000544
104	1468.500641
105	1467.099933
106	1464.652736
107	1463.400139
108	1462.36952
109	1461.441072
110	1458.141299
111	1456.996618
112	1456.149625
113	1453.587625
114	1451.991394
115	1449.608257
116	1447.680001
117	1444.545627
118	1442.261862
119	1441.723464
120	1439.960957
121	1438.837245
122	1438.058216
123	1434.651165
124	1433.657295
125	1431.476398
126	1430.158741
127	1428.348774
128	1426.372767
129	1424.991174
130	1424.045706
131	1423.210998
132	1422.716104
133	1420.276114
134	1419.354637
135	1418.091458
136	1415.534616
137	1414.67702
138	1413.247106
139	1412.159855
140	1411.054983
141	1409.900869
142	1409.18188
143	1407.725237
144	1405.530896
145	1404.888925
146	1404.484476
147	1403.754769
148	1403.146231
149	1402.167818
150	1401.39905
151	1399.513045
152	1397.708198
153	1396.199022
154	1395.436673
155	1393.994673
156	1393.096877
157	1392.581584
158	1391.791746
159	1391.303486
160	1390.911852
161	1389.846016
162	1389.279921
163	1386.580253
164	1385.816346
165	1384.584944
166	1384.201545
167	1383.305886
168	1381.460166
169	1378.848172
170	1377.546127
171	1375.79303
172	1375.428521
173	1374.694164
174	1374.405635
175	1373.328902
176	1372.793142
177	1372.366855
178	1371.562755
179	1370.392422
180	1369.911088
181	1369.555179
182	1368.769161
183	1367.812542
184	1367.247481
185	1366.807338
186	1364.75619
187	1364.002946
188	1363.667057
189	1362.65891
190	1361.630034
191	1358.817578
192	1358.420799
193	1356.735334
194	1355.965658
195	1354.704429
196	1354.12379
197	1353.50806
198	1352.870347
199	1352.008377
200	1349.936005
201	1349.677812
202	1348.854824
203	1347.744107
204	1347.517611
205	1346.935538
206	1346.399167
207	1345.823066
208	1345.409944
209	1344.876931
210	1344.655402
211	1343.057734
212	1341.722825
213	1340.469564
214	1339.548821
215	1337.971143
216	1337.391181
217	1336.533273
218	1336.274208
219	1336.087484
220	1334.767369
221	1334.337557
222	1334.04045
223	1332.703522
224	1332.343097
225	1331.036296
226	1330.333851
227	1329.876876
228	1329.630395
229	1328.477148
230	1327.85694
231	1326.778511
232	1326.231119
233	1325.84549
234	1324.939938
235	1324.292887
236	1323.547364
237	1323.149732
238	1322.800807
239	1321.974654
240	1321.650987
241	1321.410716
242	1320.827627
243	1320.465795
244	1320.087371
245	1319.67083
246	1319.392336
247	1318.44897
248	1316.914057
249	1316.589707
250	1315.854668
251	1315.49907
252	1312.84847
253	1312.520364
254	1312.35087
255	1311.230505
256	1310.913502
257	1310.654815
258	1310.433667
259	1309.513909
260	1308.819069
261	1308.428227
262	1306.224723
263	1305.237984
264	1305.106408
265	1304.706595
266	1304.385634
267	1304.144822
268	1303.81565
269	1301.960954
270	1301.679345
271	1301.26088
272	1300.717865
273	1299.67026
274	1296.893331
275	1296.684183
276	1293.805503
277	1293.585819
278	1293.429176
279	1292.614647
280	1292.175193
281	1292.01951
282	1291.540732
283	1290.791232
284	1290.427348
285	1290.279285
286	1289.918047
287	1289.565099
288	1289.374391
289	1288.45293
290	1287.737929
291	1287.001655
292	1282.864213
293	1281.087163
294	1280.900438
295	1280.539318
296	1280.263501
297	1279.129787
298	1277.774588
299	1274.23286
300	1273.84019
301	1273.318424
302	1272.307038
303	1271.531344
304	1271.217879
305	1271.061309
306	1269.331311
307	1266.716757
308	1266.152304
309	1265.896712
310	1265.682394
311	1265.494941
312	1264.663283
313	1264.507596
314	1264.291947
315	1264.134611
316	1263.447178
317	1262.965037
318	1262.328538
319	1261.699266
320	1259.735474
321	1258.164911
322	1257.073823
323	1256.818821
324	1256.380858
325	1256.270473
326	1254.507159
327	1253.302314
328	1253.065502
329	1251.097405
330	1251.015682
331	1250.764216
332	1249.432889
333	1248.635989
334	1248.490191
335	1248.211065
336	1247.880495
337	1247.741682
338	1247.466174
339	1246.788637
340	1246.557072
341	1245.737063
342	1245.283651
343	1244.5983
344	1244.335215
345	1244.146484
346	1243.338521
347	1242.887405
348	1239.968563
349	1239.786736
350	1239.59809
351	1238.778608
352	1237.422424
353	1237.131383
354	1236.608331
355	1236.279236
356	1235.622307
357	1235.403898
358	1232.848536
359	1232.761092
360	1232.61646
361	1232.428776
362	1232.237674
363	1229.428631
364	1229.19791
365	1228.957353
366	1228.660546
367	1227.999586
368	1225.920638
369	1225.725238
370	1225.562067
371	1225.19698
372	1224.787072
373	1224.505316
374	1224.164455
375	1223.704631
376	1223.571481
377	1223.435101
378	1221.745785
379	1221.346307
380	1220.467318
381	1220.280891
382	1219.486348
383	1219.31681
384	1218.982942
385	1217.525691
386	1216.705942
387	1216.050694
388	1215.640067
389	1215.412884
390	1214.485742
391	1214.182452
392	1213.990839
393	1213.203381
394	1212.83206
395	1212.716861
396	1212.359056
397	1212.112673
398	1211.824241
399	1211.704295
400	1209.750739
401	1209.626351
402	1209.512247
403	1209.248777
404	1208.972916
405	1208.70644
406	1208.482562
407	1208.132156
408	1205.697464
409	1203.69154
410	1203.520115
411	1203.428983
412	1203.047998
413	1201.812004
414	1200.648349
415	1199.773494
416	1199.643875
417	1199.501295
418	1198.879697
419	1198.797224
420	1198.483748
421	1198.032062
422	1196.042101
423	1195.813607
424	1195.451939
425	1194.538687
426	1194.447795
427	1194.306639
428	1193.442004
429	1193.25448
430	1193.067465
431	1191.139804
432	1191.029021
433	1190.839221
434	1189.25967
435	1188.989331
436	1188.410495
437	1187.92577
438	1187.659592
439	1186.666124
440	1186.522286
441	1186.341714
442	1185.956315
443	1185.746106
444	1185.349945
445	1184.811414
446	1184.182466
447	1182.159494
448	1181.310996
449	1180.820626
450	1179.02566
451	1178.382108
452	1177.931121
453	1177.314703
454	1177.2148
455	1177.027599
456	1176.867841
457	1176.594029
458	1176.321196
459	1176.228621
460	1176.073533
461	1175.964014
462	1175.880065
463	1175.722
464	1174.511909
465	1174.060961
466	1173.656659
467	1173.021159
468	1172.885294
469	1172.592298
470	1172.456462
471	1172.38753
472	1172.244771
473	1172.060376
474	1171.005378
475	1170.845161
476	1170.437191
477	1170.1972
478	1170.066059
479	1169.860221
480	1169.249602
481	1168.841354
482	1168.423483
483	1168.292828
