iter	Passed	Remaining
0	101	508059
1	203	507581
2	284	473361
3	377	471198
4	466	465931
5	551	459312
6	666	475181
7	755	471547
8	840	465949
9	923	460898
10	1009	458030
11	1106	460023
12	1205	462456
13	1297	462261
14	1389	461784
15	1474	459238
16	1567	459325
17	1667	461491
18	1768	463507
19	1854	461703
20	1948	461976
21	2035	460593
22	2135	462026
23	2224	461183
24	2310	459882
25	2403	459823
26	2487	458236
27	2580	458202
28	2688	460884
29	2783	461106
30	2873	460668
31	2966	460621
32	3055	459862
33	3149	460072
34	3241	459852
35	3335	459913
36	3424	459370
37	3517	459350
38	3618	460352
39	3717	460923
40	3806	460419
41	3896	459937
42	3998	460922
43	4087	460454
44	4188	461166
45	4283	461361
46	4371	460677
47	4462	460424
48	4560	460808
49	4671	462503
50	4761	462032
51	4847	461270
52	4929	460104
53	5026	460388
54	5111	459610
55	5207	459742
56	5297	459357
57	5384	458777
58	5469	458021
59	5558	457615
60	5652	457660
61	5754	458316
62	5852	458625
63	5949	458846
64	6046	459076
65	6148	459648
66	6239	459425
67	6335	459508
68	6428	459422
69	6525	459610
70	6622	459781
71	6721	460046
72	6816	460064
73	6912	460168
74	7026	461390
75	7139	462542
76	7243	463115
77	7334	462849
78	7421	462322
79	7517	462295
80	7628	463264
81	7730	463659
82	7830	463866
83	7919	463484
84	8014	463434
85	8118	463862
86	8222	464322
87	8319	464351
88	8417	464496
89	8509	464257
90	8617	464870
91	8716	464989
92	8818	465282
93	8913	465223
94	9002	464833
95	9108	465284
96	9221	466102
97	9315	465981
98	9409	465801
99	9504	465696
100	9607	465988
101	9706	466093
102	9802	466053
103	9898	466009
104	9995	465984
105	10093	466020
106	10205	466678
107	10309	467003
108	10412	467227
109	10503	466906
110	10610	467356
111	10709	467394
112	10807	467409
113	10901	467248
114	10997	467155
115	11096	467203
116	11190	467022
117	11297	467423
118	11388	467114
119	11489	467245
120	11588	467293
121	11703	467946
122	11796	467730
123	11890	467568
124	11988	467548
125	12080	467310
126	12187	467633
127	12300	468185
128	12402	468310
129	12490	467902
130	12597	468232
131	12703	468507
132	12794	468215
133	12893	468209
134	12997	468400
135	13091	468219
136	13195	468375
137	13297	468501
138	13400	468633
139	13489	468275
140	13589	468297
141	13685	468193
142	13779	468027
143	13875	467908
144	13970	467786
145	14058	467406
146	14161	467508
147	14254	467303
148	14346	467092
149	14440	466912
150	14536	466797
151	14636	466842
152	14729	466615
153	14826	466560
154	14928	466642
155	15019	466376
156	15123	466517
157	15214	466260
158	15313	466231
159	15407	466086
160	15505	466018
161	15623	466571
162	15717	466424
163	15807	466118
164	15907	466125
165	16004	466060
166	16101	465992
167	16199	465932
168	16295	465826
169	16395	465816
170	16485	465534
171	16591	465710
172	16694	465818
173	16790	465683
174	16882	465472
175	16973	465233
176	17063	464950
177	17165	465004
178	17256	464770
179	17368	465090
180	17473	465224
181	17565	465000
182	17685	465513
183	17782	465436
184	17873	465198
185	17963	464934
186	18060	464847
187	18157	464763
188	18259	464791
189	18353	464636
190	18469	465030
191	18566	464946
192	18682	465314
193	18773	465084
194	18862	464782
195	18960	464728
196	19053	464533
197	19155	464558
198	19326	466264
199	19447	466739
200	19547	466707
201	19665	467099
202	19761	466984
203	19871	467182
204	19993	467646
205	20095	467670
206	20191	467523
207	20286	467358
208	20397	467582
209	20511	467866
210	20635	468351
211	20752	468689
212	20848	468561
213	20941	468354
214	21051	468511
215	21171	468919
216	21291	469305
217	21387	469146
218	21486	469063
219	21582	468920
220	21675	468719
221	21770	468565
222	21867	468436
223	21960	468239
224	22055	468070
225	22159	468103
226	22256	467967
227	22347	467720
228	22445	467623
229	22538	467421
230	22652	467651
231	22744	467439
232	22834	467172
233	22927	466977
234	23028	466942
235	23129	466908
236	23232	466902
237	23322	466649
238	23411	466376
239	23510	466300
240	23627	466569
241	23729	466554
242	23819	466295
243	23921	466277
244	24022	466236
245	24126	466254
246	24222	466111
247	24312	465852
248	24410	465764
249	24531	466103
250	24661	466594
251	24764	466597
252	24863	466505
253	24954	466282
254	25051	466148
255	25143	465937
256	25236	465736
257	25335	465670
258	25432	465546
259	25532	465478
260	25650	465733
261	25742	465534
262	25836	465357
263	25923	465046
264	26018	464890
265	26112	464718
266	26210	464626
267	26302	464423
268	26392	464173
269	26476	463831
270	26595	464094
271	26698	464082
272	26793	463924
273	26887	463768
274	26976	463505
275	27065	463246
276	27169	463257
277	27268	463176
278	27355	462892
279	27445	462650
280	27546	462609
281	27655	462690
282	27745	462451
283	27841	462333
284	27931	462093
285	28021	461857
286	28128	461910
287	28221	461739
288	28311	461506
289	28406	461364
290	28500	461190
291	28611	461317
292	28715	461303
293	28809	461151
294	28895	460856
295	28982	460592
296	29087	460601
297	29182	460461
298	29278	460325
299	29382	460325
300	29470	460065
301	29560	459849
302	29689	460235
303	29786	460118
304	29890	460113
305	29981	459906
306	30080	459828
307	30177	459710
308	30271	459562
309	30365	459404
310	30457	459209
311	30559	459178
312	30671	459294
313	30758	459031
314	30857	458949
315	30953	458814
316	31047	458657
317	31139	458472
318	31234	458330
319	31325	458128
320	31414	457906
321	31513	457819
322	31630	458003
323	31724	457857
324	31809	457572
325	31900	457370
326	31984	457075
327	32079	456937
328	32179	456871
329	32265	456605
330	32347	456288
331	32438	456088
332	32524	455834
333	32636	455932
334	32732	455816
335	32834	455769
336	32927	455612
337	33021	455462
338	33125	455445
339	33220	455314
340	33309	455100
341	33401	454929
342	33510	454979
343	33627	455140
344	33743	455288
345	33846	455259
346	33960	455386
347	34051	455190
348	34159	455229
349	34261	455184
350	34346	454924
351	34440	454771
352	34535	454641
353	34655	454830
354	34748	454672
355	34840	454498
356	34928	454270
357	35017	454053
358	35112	453919
359	35208	453799
360	35294	453545
361	35388	453397
362	35475	453172
363	35595	453347
364	35698	453319
365	35794	453197
366	35895	453142
367	35996	453083
368	36090	452937
369	36185	452804
370	36281	452692
371	36382	452630
372	36484	452582
373	36608	452804
374	36696	452592
375	36801	452583
376	36891	452380
377	36985	452245
378	37079	452098
379	37169	451907
380	37263	451764
381	37361	451666
382	37455	451518
383	37547	451347
384	37661	451452
385	37756	451314
386	37848	451153
387	37937	450948
388	38030	450790
389	38127	450683
390	38217	450492
391	38315	450406
392	38408	450248
393	38501	450094
394	38618	450224
395	38711	450067
396	38807	449951
397	38904	449848
398	38995	449673
399	39095	449599
400	39193	449498
401	39286	449349
402	39374	449146
403	39459	448897
404	39550	448732
405	39672	448910
406	39788	449009
407	39880	448850
408	39973	448698
409	40065	448538
